marca,modelo,ano_vehic,km,combustible,puertas,cv,transmision,ubicacion,precio,idade,km_era_ausente,marca_agrupada,possivel_classico
AUDI,A3 SPORTBACK 2. 0 TDI 150CV CLEAN D AMBITION,2014.0,127000.0,diesel,5.0,150.0,manual,PONTEVEDRA,16400,7.0,0,AUDI,0
HYUNDAI,KONA,2019.0,10852.0,diesel,5.0,115.0,manual,MALAGA,16900,2.0,0,HYUNDAI,0
PEUGEOT,206PLUS 1. 1 60CV GENERATION,2012.0,106085.0,gasolina,3.0,60.0,manual,CANTABRIA,4900,9.0,0,PEUGEOT,0
BMW,SERIE 2 ACTIVE TOURER 220DA,2015.0,61000.0,diesel,5.0,190.0,manual,PONTEVEDRA,16100,6.0,0,BMW,0
MERCEDES-BENZ,CLASE C C 200 CDI AVANTGARDE,2014.0,136000.0,diesel,4.0,136.0,manual,PONTEVEDRA,17100,7.0,0,MERCEDES-BENZ,0
VOLKSWAGEN,POLO ADVANCE 1. 0 TSI 70KW 95CV,2018.0,42000.0,gasolina,5.0,95.0,manual,LAS_PALMAS,10490,3.0,0,VOLKSWAGEN,0
BMW,SERIE 5 520D,2011.0,169000.0,diesel,4.0,184.0,manual,PONTEVEDRA,14400,10.0,0,BMW,0
RENAULT,MEGANE CONFORT DYNAMIQUE 1. 9DCI,2003.0,198000.0,diesel,5.0,120.0,manual,ZARAGOZA,2490,18.0,0,RENAULT,0
BMW,X5 3. 0D,2005.0,200000.0,diesel,5.0,218.0,automatico,VALLADOLID,9500,16.0,0,BMW,0
SSANGYONG,ACTYON 200XDI PROFESIONAL PREMIUM,2007.0,124000.0,diesel,5.0,141.0,manual,PONTEVEDRA,6900,14.0,0,OUTRAS,0
PEUGEOT,5008 SPORT PACK 2. 0 HDI 150 FAP,2010.0,183000.0,diesel,5.0,150.0,manual,PONTEVEDRA,10400,11.0,0,PEUGEOT,0
SKODA,FABIA COMBI 1. 6 TDI CR 90CV FAMILY,2012.0,110000.0,diesel,5.0,90.0,manual,VALLADOLID,6800,9.0,0,OUTRAS,0
VOLKSWAGEN,GOLF 2. 0 TSI 230CV DSG GTI PERFORMANCE BMT,2014.0,141000.0,gasolina,3.0,230.0,automatico,PONTEVEDRA,19500,7.0,0,VOLKSWAGEN,0
FORD,FOCUS 1. 6 TDCI 109 ECONETIC,2009.0,217000.0,diesel,5.0,109.0,manual,VALLADOLID,5900,12.0,0,FORD,0
PEUGEOT,308 CONFORT 1. 6 VTI 120,2008.0,174000.0,gasolina,5.0,120.0,manual,VALLADOLID,5600,13.0,0,PEUGEOT,0
HYUNDAI,IONIQ 1. 6 GDI PHEV TECNO DCT,2019.0,17890.0,híbrido,5.0,141.0,automatico,MALAGA,23000,2.0,0,HYUNDAI,0
ALFA ROMEO,GIULIA 2. 0 GME T4 206KW 280CV VELOCE ATX,2020.0,500.0,gasolina,4.0,280.0,automatico,VALENCIA,40000,1.0,0,OUTRAS,0
OPEL,ASTRA 1. 7 CDTI ENJOY,2006.0,138000.0,diesel,5.0,100.0,manual,VALLADOLID,4900,15.0,0,OPEL,0
PEUGEOT,508 SW ALLURE 2. 0 BLUEHDI 133KW 180CV AUTO,2017.0,129056.0,diesel,5.0,180.0,automatico,MADRID,15990,4.0,0,PEUGEOT,0
FORD,CMAX 1. 8 TDCI GHIA,2008.0,148000.0,diesel,5.0,115.0,manual,VALLADOLID,6500,13.0,0,FORD,0
PEUGEOT,3008 1. 5 BLUEHDI 96KW SS ALLURE PACK EAT8,2020.0,0.0,diesel,5.0,130.0,automatico,MALAGA,31900,1.0,1,PEUGEOT,0
PEUGEOT,208 PURETECH 73KW 100CV ALLURE,2020.0,0.0,gasolina,5.0,100.0,manual,MALAGA,15400,1.0,1,PEUGEOT,0
PEUGEOT,5008 1. 5 BLUEHDI 96KW 130CV SS ALLURE PACK,2021.0,0.0,diesel,5.0,130.0,manual,MALAGA,31300,0.0,1,PEUGEOT,0
NISSAN,PIXO 5P 1. 0G 68CV ACENTA,2012.0,106000.0,gasolina,5.0,68.0,manual,VALLADOLID,4900,9.0,0,NISSAN,0
OPEL,ADAM 1. 4 XEL ROCKS,2017.0,45810.0,gasolina,3.0,87.0,manual,LAS_PALMAS,8990,4.0,0,OPEL,0
BMW,X5 3. 0D,2002.0,290000.0,diesel,5.0,184.0,automatico,MADRID,4998,19.0,0,BMW,0
HYUNDAI,IONIQ 1. 6 GDI HEV TECNO DT,2019.0,15000.0,híbrido,5.0,141.0,automatico,MADRID,18590,2.0,0,HYUNDAI,0
PEUGEOT,2008 ALLURE 1. 2 PURETECH 110 SS EAT6,2016.0,81450.0,gasolina,5.0,110.0,automatico,MADRID,10500,5.0,0,PEUGEOT,0
HYUNDAI,TUCSON 1. 7 CRDI 115CV BLUEDRIVE KLASS 4X2,2016.0,75000.0,diesel,5.0,115.0,manual,MADRID,14500,5.0,0,HYUNDAI,0
HYUNDAI,I20 1. 2 MPI BLUEDRIVE TECNO,2015.0,60000.0,gasolina,5.0,84.0,manual,MADRID,8900,6.0,0,HYUNDAI,0
CITROEN,C8 2. 0 HDI 16V 120 PREMIER II,2007.0,202573.0,diesel,5.0,120.0,manual,CANTABRIA,6000,14.0,0,CITROEN,0
BMW,SERIE 7 730D,2013.0,110000.0,diesel,4.0,258.0,automatico,ZARAGOZA,23949,8.0,0,BMW,0
SEAT,LEON 1. 9 TDI 150CV FR,2004.0,190000.0,diesel,5.0,150.0,manual,VALLADOLID,5500,17.0,0,SEAT,0
AUDI,A3 1. 4 TFSI 122CV AMBITION,2012.0,131000.0,gasolina,3.0,122.0,manual,CASTELLON,10200,9.0,0,AUDI,0
MITSUBISHI,LANCER 2. 0 16V EVOLUTION MR,2011.0,59000.0,gasolina,4.0,295.0,automatico,ALICANTE,29990,10.0,0,OUTRAS,0
VOLKSWAGEN,POLO ADVANCE 1. 2 TSI 90CV BMT,2014.0,138000.0,gasolina,5.0,90.0,manual,LAS_PALMAS,5990,7.0,0,VOLKSWAGEN,0
CITROEN,C3 PICASSO HDI 90CV AIRDREAM ATTRACTION,2015.0,62500.0,diesel,5.0,92.0,manual,LA_CORUNA,9058,6.0,0,CITROEN,0
MERCEDES-BENZ,CLASE CLC CLC 220 CDI,2009.0,129000.0,diesel,3.0,150.0,automatico,PONTEVEDRA,10990,12.0,0,MERCEDES-BENZ,0
PEUGEOT,208 5P STYLE 1. 6 BLUEHDI 55KW 75CV,2017.0,67000.0,diesel,5.0,75.0,manual,CASTELLON,10000,4.0,0,PEUGEOT,0
BMW,SERIE 3 330D,2010.0,143000.0,diesel,2.0,245.0,manual,PONTEVEDRA,16200,11.0,0,BMW,0
VOLKSWAGEN,GOLF GTD 2. 0 TDI 184CV BMT,2015.0,183000.0,diesel,5.0,184.0,manual,CASTELLON,15400,6.0,0,VOLKSWAGEN,0
SEAT,LEON ST 2. 0 TDI 150CV STSP FR,2015.0,119000.0,diesel,5.0,150.0,manual,PONTEVEDRA,12500,6.0,0,SEAT,0
CITROEN,C4 AIRCROSS 1. 6 HDI 115CV SEDUCTION,2014.0,76590.0,diesel,5.0,114.0,manual,CANTABRIA,11990,7.0,0,CITROEN,0
OPEL,INSIGNIA 2. 0 CDTI 160 CV SPORT,2010.0,150332.0,diesel,5.0,160.0,manual,CANTABRIA,6990,11.0,0,OPEL,0
FIAT,FREEMONT URBAN 2. 0 16V 140CV DIESEL,2011.0,177879.0,diesel,5.0,140.0,manual,CANTABRIA,9990,10.0,0,FIAT,0
SEAT,IBIZA 1. 9 SDI REFERENCE,2004.0,230064.0,diesel,3.0,64.0,manual,CANTABRIA,3500,17.0,0,SEAT,0
